Trial01
Date:,2017/07/11
Time:,16:52:01
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C,,,*1,,,*2
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1178,-344.077972,307.745880,980.670471,-345.321014,206.343872,978.639709,-272.814606,256.299652,980.170959,,,,,,
1179,-344.076416,307.745880,980.670715,-345.320984,206.344070,978.639709,-272.813416,256.299042,980.170654,,,,,,
1180,-344.075195,307.745544,980.671082,-345.320953,206.343842,978.639893,-272.812347,256.298248,980.170410,,,,,,
1181,-344.074280,307.744873,980.671509,-345.320892,206.343216,978.640259,-272.811401,256.297302,980.170227,,,,,,
1182,-344.073730,307.743896,980.671936,-345.320770,206.342285,978.640747,-272.810608,256.296295,980.170105,,,,,,
1183,-344.073456,307.742584,980.672363,-345.320618,206.341080,978.641296,-272.809967,256.295197,980.170044,,,,,,
1184,-344.073456,307.740936,980.672852,-345.320404,206.339661,978.641968,-272.809448,256.294037,980.170105,,,,,,
1185,-344.073639,307.738983,980.673279,-345.320221,206.338120,978.642517,-272.809052,256.292847,980.170166,,,,,,
1186,-344.073883,307.736755,980.673645,-345.320007,206.336563,978.642944,-272.808777,256.291656,980.170349,,,,,,
1187,-344.074188,307.734375,980.673950,-345.319794,206.335114,978.643066,-272.808594,256.290497,980.170593,,,,,,
1188,-344.074493,307.731873,980.674133,-345.319580,206.333832,978.642822,-272.808472,256.289398,980.170898,,,,,,
1189,-344.074707,307.729401,980.674255,-345.319397,206.332703,978.642212,-272.808350,256.288330,980.171326,,,,,,
1190,-344.074860,307.726959,980.674316,-345.319244,206.331696,978.641296,-272.808258,256.287292,980.171814,,,,,,
1191,-344.074890,307.724701,980.674316,-345.319153,206.330688,978.640137,-272.808136,256.286285,980.172424,,,,,,
1192,-344.074829,307.722595,980.674438,-345.319031,206.329605,978.638977,-272.807953,256.285339,980.173096,,,,,,
1193,-344.074677,307.720673,980.674561,-345.318848,206.328323,978.638000,-272.807739,256.284363,980.173767,,,,,,
